"last_name","Number of Each Last Name"
"Baba","226"
"Coorg","223"
"Gelosh","223"
"Farris","222"
"Sudbeck","222"
"Adachi","221"
"Osgood","220"
"Masada","218"
"Mandell","218"
"Neiman","218"
"Boudaillier","217"
"Wendorf","217"
"Pettis","216"
"Cummings","216"
"Mahnke","216"
"Solares","216"
"Maksimenko","215"
"Kulisch","215"
"Birjandi","215"
"Emmart","215"
"Collette","215"
"Pokrovskii","214"
"Rosaz","214"
"Boguraev","214"
"Scallan","214"
"Siksek","213"
"Morrey","213"
"Wolniewicz","213"
"Stifter","213"
"Rabehasaina","212"
"Garrabrants","212"
"Rajcani","212"
"Herber","212"
"Pramanik","212"
"Peek","212"
"Taubman","212"
"Swen","212"
"Siepmann","212"
"Ghemri","211"
"Cangellaris","211"
"Kitsuregawa","211"
"Asser","211"
"Kamber","211"
"Barriga","211"
"Gente","211"
"Ventosa","211"
"Luce","210"
"Schaaf","210"
"Bolsens","210"
"Driscoll","210"
"Redmiles","210"
"Malabarba","209"
"Gerlach","209"
"Zuberek","209"
"Khasidashvili","209"
"Gewali","209"
"Lamparter","209"
"Serra","209"
"Lunt","209"
"Chenney","209"
"Flowers","209"
"Lowrie","208"
"Panienski","208"
"Aloia","208"
"Jenevein","208"
"Gecsei","208"
"Cesareni","208"
"Akazan","207"
"Angelopoulos","207"
"Garnier","207"
"Lamba","207"
"Bondorf","206"
"Perng","206"
"Chimia","206"
"Gaughan","206"
"Hebert","206"
"Foote","206"
"Braunmuhl","206"
"Duclos","206"
"Marakhovsky","205"
"Siprelle","205"
"Lanphier","205"
"Panangaden","205"
"Aamodt","205"
"Bennet","205"
"Matzov","205"
"Encarnacion","205"
"Emden","205"
"Onuegbe","205"
"Ecklund","205"
"Garnham","205"
"DeMori","205"
"Ponthieu","205"
"Shimshoni","205"
"Geffroy","205"
"Luders","204"
"Whitcomb","204"
"Legleitner","204"
"Shiratori","204"
"Linares","204"
"Desikan","204"
"Coors","204"
"Shrader","204"
"Riexinger","204"
"Malinowski","204"
"Alpin","204"
"Swick","204"
"Argence","204"
"Feinberg","203"
"Herbst","203"
